Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
23,12 = 14,512508060,82,696,97.49,B
23,15 = 16,512803601,81,689,97.05,B
23,15 = 16,512502085,81,689,97.05,B
23,17,512804606,80,683,96.65,B
23,18 = 19,512801082,79,679,96.35,B
23,18 = 19,512402806,79,679,96.35,B
23,20,513001002,78,676,96.06,B
23,21 = 25,512901692,77,671,95.65,B
23,21 = 25,512700028,77,671,95.65,B
23,21 = 25,512902849,77,671,95.65,B
23,21 = 25,512904370,77,671,95.65,B
23,21 = 25,513002912,77,671,95.65,B
23,26 = 30,512704898,76,666,95.14,B
23,26 = 30,512803952,76,666,95.14,B
23,26 = 30,512700004,76,666,95.14,B
23,26 = 30,512503347,76,666,95.14,B
23,26 = 30,512900987,76,666,95.14,B
23,31 = 36,512401997,75,659,94.44,B
23,31 = 36,512500107,75,659,94.44,B
23,31 = 36,512801020,75,659,94.44,B
23,31 = 36,512403635,75,659,94.44,B
23,31 = 36,512902593,75,659,94.44,B
23,31 = 36,512904402,75,659,94.44,B
23,37 = 38,512404761,74,654,93.81,B
23,37 = 38,512402353,74,654,93.81,B
23,39 = 40,513001485,73,650,93.37,B
23,39 = 40,512801902,73,650,93.37,B
23,41 = 46,512701042,72,645,92.67,B-
23,41 = 46,512500425,72,645,92.67,B-
23,41 = 46,512402316,72,645,92.67,B-
23,41 = 46,512902979,72,645,92.67,B-
23,41 = 46,513002159,72,645,92.67,B-
23,41 = 46,512404221,72,645,92.67,B-
23,47 = 49,512402325,71,639,91.83,B-
23,47 = 49,513001150,71,639,91.83,B-
23,47 = 49,512503270,71,639,91.83,B-
23,50 = 53,512802345,70,635,91.13,B-
23,50 = 53,512702948,70,635,91.13,B-
23,50 = 53,512800063,70,635,91.13,B-
23,50 = 53,512400182,70,635,91.13,B-
23,54 = 55,512801625,69,632,90.65,B-
23,54 = 55,512503332,69,632,90.65,B-
23,56 = 58,512703235,68,630,90.25,B-
23,56 = 58,512800137,68,630,90.25,B-
23,56 = 58,512903278,68,630,90.25,B-
23,59 = 65,512704108,67,626,89.66,B-
23,59 = 65,512801718,67,626,89.66,B-
23,59 = 65,512900495,67,626,89.66,B-
23,59 = 65,512901695,67,626,89.66,B-
23,59 = 65,512402751,67,626,89.66,B-
23,59 = 65,512503214,67,626,89.66,B-
23,59 = 65,512503049,67,626,89.66,B-
23,66 = 70,512505503,66,621,88.77,B-
23,66 = 70,512702965,66,621,88.77,B-
23,66 = 70,512900623,66,621,88.77,B-
23,66 = 70,512500408,66,621,88.77,B-
23,66 = 70,512800710,66,621,88.77,B-
23,71 = 74,512704166,65,617,87.89,B-
23,71 = 74,513002408,65,617,87.89,B-
23,71 = 74,512506222,65,617,87.89,B-
23,71 = 74,513104376,65,617,87.89,B-
23,75 = 78,512509029,64,612,87.12,B-
23,75 = 78,512700029,64,612,87.12,B-
23,75 = 78,512800304,64,612,87.12,B-
23,75 = 78,512703090,64,612,87.12,B-
23,79 = 85,512400033,63,609,86.2,B-
23,79 = 85,512500363,63,609,86.2,B-
23,79 = 85,512900548,63,609,86.2,B-
23,79 = 85,513000425,63,609,86.2,B-
23,79 = 85,512801090,63,609,86.2,B-
23,79 = 85,512501980,63,609,86.2,B-
23,79 = 85,512507509,63,609,86.2,B-
23,86 = 89,512506167,62,605,85.39,B-
23,86 = 89,513001839,62,605,85.39,B-
23,86 = 89,512801006,62,605,85.39,B-
23,86 = 89,512503643,62,605,85.39,B-
23,90 = 95,512700463,61,601,84.47,B-
23,90 = 95,512900339,61,601,84.47,B-
23,90 = 95,512803625,61,601,84.47,B-
23,90 = 95,512505766,61,601,84.47,B-
23,90 = 95,512804172,61,601,84.47,B-
23,90 = 95,512405122,61,601,84.47,B-
23,96 = 102,513102304,60,597,83.4,C
23,96 = 102,512510853,60,597,83.4,C
23,96 = 102,512400504,60,597,83.4,C
23,96 = 102,512400081,60,597,83.4,C
23,96 = 102,512801053,60,597,83.4,C
23,96 = 102,512800955,60,597,83.4,C
23,96 = 102,512402014,60,597,83.4,C
23,103 = 112,512503061,59,593,82.33,C
23,103 = 112,512900949,59,593,82.33,C
23,103 = 112,512802208,59,593,82.33,C
23,103 = 112,513000733,59,593,82.33,C
23,103 = 112,513001350,59,593,82.33,C
23,103 = 112,512801069,59,593,82.33,C
23,103 = 112,512502236,59,593,82.33,C
23,103 = 112,512800626,59,593,82.33,C
23,103 = 112,513104932,59,593,82.33,C
23,103 = 112,512506460,59,593,82.33,C
23,113 = 124,512804380,58,588,81.19,C
23,113 = 124,513102223,58,588,81.19,C
23,113 = 124,512903271,58,588,81.19,C
23,113 = 124,512507225,58,588,81.19,C
23,113 = 124,513000176,58,588,81.19,C
23,113 = 124,512400550,58,588,81.19,C
23,113 = 124,512800423,58,588,81.19,C
23,113 = 124,513100329,58,588,81.19,C
23,113 = 124,512801081,58,588,81.19,C
23,113 = 124,512902107,58,588,81.19,C
23,113 = 124,512701739,58,588,81.19,C
23,113 = 124,512502816,58,588,81.19,C
23,125 = 128,512500174,57,585,80.35,C
23,125 = 128,512400432,57,585,80.35,C
23,125 = 128,512403818,57,585,80.35,C
23,125 = 128,512506733,57,585,80.35,C
23,129 = 134,512403811,56,583,79.61,C
23,129 = 134,512905053,56,583,79.61,C
23,129 = 134,512510181,56,583,79.61,C
23,129 = 134,512501205,56,583,79.61,C
23,129 = 134,512401885,56,583,79.61,C
23,129 = 134,512802441,56,583,79.61,C
23,135 = 142,512401914,55,580,78.73,C
23,135 = 142,512701481,55,580,78.73,C
23,135 = 142,512504079,55,580,78.73,C
23,135 = 142,512501328,55,580,78.73,C
23,135 = 142,512502222,55,580,78.73,C
23,135 = 142,512501772,55,580,78.73,C
23,135 = 142,513102944,55,580,78.73,C
23,135 = 142,513103710,55,580,78.73,C
23,143 = 154,513104401,54,576,77.55,C
23,143 = 154,513104812,54,576,77.55,C
23,143 = 154,512506505,54,576,77.55,C
23,143 = 154,512704442,54,576,77.55,C
23,143 = 154,513101275,54,576,77.55,C
23,143 = 154,513101327,54,576,77.55,C
23,143 = 154,513000115,54,576,77.55,C
23,143 = 154,512902234,54,576,77.55,C
23,143 = 154,512902340,54,576,77.55,C
23,143 = 154,513001828,54,576,77.55,C
23,143 = 154,512901333,54,576,77.55,C
23,143 = 154,512503622,54,576,77.55,C
23,155 = 170,512901166,53,570,75.93,C
23,155 = 170,512504913,53,570,75.93,C
23,155 = 170,512900301,53,570,75.93,C
23,155 = 170,512800309,53,570,75.93,C
23,155 = 170,512500032,53,570,75.93,C
23,155 = 170,512801548,53,570,75.93,C
23,155 = 170,512401524,53,570,75.93,C
23,155 = 170,512502288,53,570,75.93,C
23,155 = 170,512801714,53,570,75.93,C
23,155 = 170,512508153,53,570,75.93,C
